code,name,scope_group,industry,ent_type,event_count,latest_ann_date,locator_terms
000850,华茂股份,商品+外汇,纺织服饰,地方国企,4,2026-04-28,"[""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""期货"", ""棉花"", ""货币互换"", ""远期结售汇"", ""铜""]"
600150,中国船舶,商品+外汇,国防军工,央企,4,2025-12-10,"[""其他"", ""利率互换"", ""外汇掉期"", ""外汇远期"", ""期权"", ""期货"", ""欧元"", ""美元"", ""螺纹钢"", ""远期结售汇"", ""钢材""]"
603177,德创环保,商品+外汇,环保,外资,4,2026-04-30,"[""不锈钢"", ""外汇远期"", ""期权"", ""期货"", ""热卷"", ""美元"", ""螺纹钢""]"
000555,神州信息,商品+外汇,计算机,其他,3,2025-10-31,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""期权"", ""期货"", ""货币互换"", ""远期结售汇""]"
002641,公元股份,商品+外汇,建筑材料,民企,7,2026-04-24,"[""PE"", ""PP"", ""PVC"", ""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""期货"", ""欧元"", ""美元"", ""货币互换"", ""货币掉期"", ""远期结售汇""]"
002027,分众传媒,商品+外汇,传媒,外资,2,2025-05-22,"[""其他"", ""场外衍生品"", ""期权"", ""期货""]"
601088,中国神华,商品+外汇,煤炭,央企,2,2023-04-29,"[""动力煤"", ""外汇远期"", ""期货"", ""美元""]"
000721,西安饮食,商品+外汇,社会服务,地方国企,1,2025-11-29,"[""场外衍生品"", ""期权"", ""期货""]"
002133,广宇集团,商品+外汇,房地产,民企,6,2025-11-26,"[""尿素"", ""期权"", ""期货"", ""淀粉"", ""烧碱"", ""玉米"", ""玻璃"", ""纯碱"", ""美元"", ""聚氯乙烯"", ""菜粕"", ""豆粕"", ""远期结售汇""]"
001206,依依股份,商品+外汇,美容护理,民企,4,2026-01-09,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""期权"", ""期货"", ""美元"", ""货币互换"", ""远期结售汇""]"
600089,特变电工,商品+外汇,综合,民企,4,2025-12-13,"[""PVC"", ""利率互换"", ""场外衍生品"", ""塑料"", ""外汇掉期"", ""外汇远期"", ""多晶硅"", ""工业硅"", ""成品油"", ""期权"", ""期货"", ""欧元"", ""氧化铝"", ""玻璃"", ""碳酸锂"", ""美元"", ""货币互换"", ""远期结售汇"", ""钢材"", ""铅"", ""铜"", ""铝"", ""铝加工产品"", ""黄金""]"
300712,永福股份,商品+外汇,建筑装饰,民企,3,2026-04-28,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""期货"", ""美元"", ""货币互换"", ""远期"", ""远期结售汇""]"
600690,海尔智家,商品+外汇,家用电器,集体,8,2026-03-28,"[""俄罗斯卢布"", ""其他"", ""利率互换"", ""印尼盾"", ""印度卢比"", ""场外衍生品"", ""塑料"", ""外汇掉期"", ""外汇远期"", ""掉期"", ""期权"", ""期货"", ""泰铢"", ""美元"", ""货币互换"", ""远期"", ""远期结售汇"", ""钢材"", ""铜"", ""铝""]"
600219,南山铝业,商品+外汇,有色金属,集体,7,2025-12-23,"[""利率互换"", ""动力煤"", ""场外衍生品"", ""外汇远期"", ""期权"", ""期货"", ""欧元"", ""美元"", ""货币互换"", ""远期"", ""远期结售汇"", ""铝""]"
600751,海航科技,商品+外汇,交通运输,其他,7,2025-09-30,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""期货"", ""美元"", ""货币互换"", ""运费"", ""远期结售汇""]"
002758,浙农股份,商品+外汇,基础化工,集体,4,2025-11-27,"[""外汇掉期"", ""外汇期权"", ""尿素"", ""期权"", ""期货"", ""硫磺"", ""碳酸锂"", ""纯碱"", ""美元"", ""远期结售汇""]"
002276,万马股份,商品+外汇,电力设备,地方国企,8,2026-04-23,"[""LLDPE"", ""PVC"", ""其他"", ""塑料"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""期货"", ""欧元"", ""汇率"", ""美元"", ""货币"", ""货币互换"", ""远期结售汇"", ""铜"", ""铝""]"
300582,英飞特,商品+外汇,电子,外资,7,2026-04-25,"[""其他"", ""利率"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""期货"", ""汇率"", ""货币"", ""货币互换"", ""远期"", ""远期结售汇"", ""铜"", ""铝"", ""锡""]"
600739,辽宁成大,商品+外汇,医药生物,其他,6,2026-04-25,"[""其他"", ""动力煤"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""大豆"", ""日元"", ""期权"", ""期货"", ""热轧卷板"", ""玉米"", ""线材"", ""美元"", ""花生"", ""菜籽油"", ""菜粕"", ""螺纹钢"", ""远期结售汇""]"
600019,宝钢股份,商品+外汇,钢铁,央企,4,2026-04-30,"[""人民币"", ""利率互换"", ""动力煤"", ""外汇掉期"", ""外汇远期"", ""日元"", ""期货"", ""欧元"", ""澳元"", ""热轧卷板"", ""焦炭"", ""焦煤"", ""燃料油"", ""硅铁"", ""美元"", ""铁矿石"", ""铜"", ""锌"", ""锡"", ""锰硅"", ""镍""]"
000505,京粮控股,商品+外汇,农林牧渔,地方国企,7,2026-04-14,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""大豆"", ""期权"", ""期货"", ""棕榈油"", ""欧元"", ""玉米"", ""美元"", ""花生"", ""菜油"", ""菜粕"", ""豆油"", ""豆粕"", ""货币互换""]"
605088,冠盛股份,商品+外汇,汽车,外资,7,2026-04-24,"[""其他"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""期货"", ""欧元"", ""热卷"", ""碳酸锂"", ""美元"", ""螺纹钢"", ""远期结售汇"", ""金属"", ""钢材""]"
